Case #,Task Description,Code Solution,Score
646,Write a python function to count number of cubes of size k in a cube of size n.,"
def No_of_cubes(N, K):
    No = (N - K + 1)
    No = pow(No, 3)
    return No
",100.0
647,Write a function to split a string at uppercase letters.,"
import re
def split_upperstring(text):
    return re.findall('[A-Z][^A-Z]*', text)
",100.0
648,Write a function to exchange the position of every n-th value with (n+1)th value and (n+1)th value with n-th value in a given list.,"
from itertools import zip_longest, chain

def exchange_elements(lst):
    return list(chain.from_iterable(zip_longest(lst[1::2], lst[::2])))
",100.0
649,Write a python function to calculate the sum of the numbers in a list between the indices of a specified range.,"
def sum_Range_list(nums, m, n):
    sum_range = 0
    for i in range(m, n + 1):
        sum_range += nums[i]
    return sum_range
",100.0
650,Write a python function to check whether the given two arrays are equal or not.,"
def are_Equal(arr1, arr2, n, m):
    if n != m:
        return False
    arr1.sort()
    arr2.sort()
    for i in range(n):
        if arr1[i] != arr2[i]:
            return False
    return True
",100.0
651,Write a function to check if one tuple is a subset of another tuple.,"
def check_subset(test_tup1, test_tup2):
    res = set(test_tup2).issubset(test_tup1)
    return res
",100.0
652,Write a function to flatten the given tuple matrix into the tuple list with each tuple representing each column.,"
def matrix_to_list(test_list):
    temp = list(zip(*[ele for sub in test_list for ele in sub]))
    return str(temp)
",100.0
697,Write a function to find number of even elements in the given list using lambda function.,"
def count_even(array_nums):
    return len(list(filter(lambda x: x % 2 == 0, array_nums)))
",100.0
654,Write a function to find the perimeter of a rectangle.,"
def rectangle_perimeter(l, b):
    perimeter = 2 * (l + b)
    return perimeter
",100.0
655,Write a python function to find the sum of fifth power of n natural numbers.,"
def fifth_Power_Sum(n) : 
    sm = 0 
    for i in range(1, n + 1) : 
        sm = sm + (i**5) 
    return sm
",100.0
656,Write a python function to find the minimum sum of absolute differences of two arrays.,"
def find_Min_Sum(a, b, n):
    a.sort()
    b.sort()
    sum = 0
    for i in range(n):
        sum += abs(a[i] - b[i])
    return sum

assert find_Min_Sum([3,2,1],[2,1,3],3) == 0
assert find_Min_Sum([1,2,3],[4,5,6],3) == 9
assert find_Min_Sum([4,1,8,7],[2,3,6,5],4) == 6
",100.0
657,Write a python function to find the first digit in factorial of a given number.,"
import math 

def first_Digit(n) : 
    fact = 1
    for i in range(2, n + 1) : 
        fact = fact * i 
        while (fact % 10 == 0) :  
            fact = int(fact / 10) 
    while (fact >= 10) : 
        fact = int(fact / 10) 
    return int(str(fact)[0])
",100.0
658,Write a function to find the item with maximum occurrences in a given list.,"
def max_occurrences(list1):
    max_val = 0
    result = list1[0]
    count_dict = {}
    for item in list1:
        count_dict[item] = count_dict.get(item, 0) + 1
        if count_dict[item] > max_val:
            max_val = count_dict[item]
            result = item
    return result
",100.0
659,Write a python function to print duplicants from a list of integers.,"
def Repeat(x):
    _size = len(x)
    repeated = []
    for i in range(_size):
        k = i + 1
        for j in range(k, _size):
            if x[i] == x[j] and x[i] not in repeated:
                repeated.append(x[i])
    return repeated
",100.0
660,Write a python function to choose points from two ranges such that no point lies in both the ranges.,"
def find_Points(l1, r1, l2, r2):
    if r1 < l2 or r2 < l1:
        return (l1, r2)
    else:
        return (min(l1, l2), max(r1, r2))
",100.0
662,Write a function to sort a list in a dictionary.,"
def sorted_dict(dict1):
    sorted_dict = {x: sorted(y) for x, y in dict1.items()}
    return sorted_dict
",100.0
708,Write a python function to convert a string to a list.,"
def Convert(string):
    li = string.split()
    return li
",100.0
664,Write a python function to find the average of even numbers till a given even number.,"
def average_Even(n):
    if n % 2 != 0:
        return ""Invalid Input""
    
    sm = 0
    count = 0
    while n >= 2:
        count += 1
        sm += n
        n -= 2
    
    return sm // count if count != 0 else ""Invalid Input""
",100.0
665,Write a python function to shift first element to the end of given list.,"
def move_last(num_list):
    if num_list:
        num_list.append(num_list.pop(0))
    return num_list
",100.0
666,Write a function to count occurrence of a character in a string.,"
def count_char(string, char):
    return string.count(char)
",100.0
667,Write a python function to count number of vowels in the string.,"
def Check_Vow(string, vowels): 
    final = [each for each in string if each in vowels] 
    return(len(final))
",100.0
668,Write a python function to replace multiple occurence of character by single.,"
import re
def replace(string, char):
    pattern = char + '{2,}'
    string = re.sub(pattern, char, string)
    return string
",100.0
669,Write a function to check whether the given ip address is valid or not using regex.,"
import re

def check_IP(Ip): 
    regex = r'''^(25[0-5]|2[0-4][0-9]|[0-1]?[0-9][0-9]?)\.
                (25[0-5]|2[0-4][0-9]|[0-1]?[0-9][0-9]?)\.
                (25[0-5]|2[0-4][0-9]|[0-1]?[0-9][0-9]?)\.
                (25[0-5]|2[0-4][0-9]|[0-1]?[0-9][0-9]?)$'''
    if re.search(regex, Ip, re.VERBOSE): 
        return ""Valid IP address""
    else: 
        return ""Invalid IP address""
",100.0
670,Write a python function to check whether a sequence of numbers has a decreasing trend or not.,"
def decreasing_trend(nums):
    return all(nums[i] <= nums[i+1] for i in range(len(nums) - 1))
",100.0
671,Write a python function to set the right most unset bit.,"
import math

def get_Pos_Of_Right_most_Set_Bit(n):
    return int(math.log2(n & -n) + 1)

def set_Right_most_Unset_Bit(n):
    if (n == 0):
        return 1
    if ((n & (n + 1)) == 0):
        return n
    pos = get_Pos_Of_Right_most_Set_Bit(~n)
    return ((1 << (pos - 1)) | n)
",100.0
672,Write a function to find maximum of three numbers.,"
def max_of_three(num1, num2, num3):
    if (num1 >= num2) and (num1 >= num3):
        lnum = num1
    elif (num2 >= num1) and (num2 >= num3):
        lnum = num2
    else:
        lnum = num3
    return lnum
",100.0
673,Write a python function to convert a list of multiple integers into a single integer.,"
def convert(lst):
    s = [str(i) for i in lst]
    res = int("""".join(s))
    return res
",100.0
742,Write a function to caluclate the area of a tetrahedron.,"
import math

def area_tetrahedron(side):
    area = math.sqrt(3) * (side ** 2)
    return area
",100.0
675,"Write a function to add two integers. however, if the sum is between the given range it will return 20.","
def sum_nums(x, y, m, n):
    sum_nums = x + y
    if m <= sum_nums < n:
        return 20
    else:
        return sum_nums
",100.0
676,Write a function to remove everything except alphanumeric characters from the given string by using regex.,"
import re
def remove_extra_char(text1):
    pattern = re.compile('[\W_]+')
    return pattern.sub('', text1)
",100.0
677,Write a function to check if the triangle is valid or not.,"
def validity_triangle(a, b, c):
    return a + b + c == 180
",100.0
678,Write a python function to remove spaces from a given string.,"
def remove_spaces(str1):
    return str1.replace(' ','')
",100.0
679,Write a function to access dictionary key’s element by index.,"
def access_key(dictionary, key):
    return list(dictionary.keys())[key]
",100.0
680,Write a python function to check whether a sequence of numbers has an increasing trend or not.,"
def increasing_trend(nums):
    return nums == sorted(nums)
",100.0
681,Write a python function to find the smallest prime divisor of a number.,"
def smallest_Divisor(n):
    if n % 2 == 0:
        return 2
    i = 3
    while i * i <= n:
        if n % i == 0:
            return i
        i += 2
    return n
",100.0
682,Write a function to multiply two lists using map and lambda function.,"
def mul_list(nums1, nums2):
  result = map(lambda x, y: x * y, nums1, nums2)
  return list(result)
",100.0
683,Write a python function to check whether the given number can be represented by sum of two squares or not.,"
def sum_Square(n):
    i = 0
    while i * i <= n:
        j = 0
        while j * j <= n:
            if i * i + j * j == n:
                return True
            j += 1
        i += 1
    return False
",100.0
684,Write a python function to count occurences of a character in a repeated string.,"
def count_Char(s, x):
    count = s.count(x)
    n = 10
    repetitions = n // len(s)
    count = count * repetitions
    remainder = n % len(s)
    for i in range(remainder):
        if s[i] == x:
            count += 1
    return count

assert count_Char(""abcac"", 'a') == 4
assert count_Char(""abca"", 'c') == 2
assert count_Char(""aba"", 'a') == 7
",100.0
685,Write a python function to find sum of prime numbers between 1 to n.,"
def sum_Of_Primes(n): 
    prime = [True] * (n + 1)  
    p = 2
    while p * p <= n: 
        if prime[p] == True:  
            i = p * p
            while i <= n: 
                prime[i] = False
                i += p 
        p += 1    
    total_sum = 0
    for i in range(2, n + 1): 
        if prime[i]: 
            total_sum += i 
    return total_sum
",100.0
687,Write a function to find the greatest common divisor (gcd) of two integers by using recursion.,"
def recur_gcd(a, b):
    if b == 0:
        return a
    else:
        return recur_gcd(b, a % b)
",100.0
688,Write a function to get the length of a complex number.,"
import cmath
def len_complex(a,b):
    cn = complex(a, b)
    length = abs(cn)
    return length
",100.0
689,## write a function to find the minimum number of jumps to reach the end of the array for the given array of integers where each element represents the max number of steps that can be made forward from that element. > indented block > indented block,"
def min_jumps(arr, n):
    if n == 0 or arr[0] == 0:
        return float('inf')

    jumps = [float('inf')] * n
    jumps[0] = 0

    for i in range(1, n):
        for j in range(i):
            if i <= j + arr[j] and jumps[j] != float('inf'):
                jumps[i] = min(jumps[i], jumps[j] + 1)
                break

    return jumps[n - 1]
",100.0
690,Write a function to multiply consecutive numbers of a given list.,"
def mul_consecutive_nums(nums):
    result = [b * a for a, b in zip(nums[:-1], nums[1:])]
    return result
",100.0
691,Write a function to group the 1st elements on the basis of 2nd elements in the given tuple list.,"
from itertools import groupby

def group_element(test_list):
    res = dict()
    for key, val in groupby(sorted(test_list, key = lambda ele: ele[1]), key = lambda ele: ele[1]):
        res[key] = [ele[0] for ele in val]
    return res
",100.0
692,Write a python function to find the last two digits in factorial of a given number.,"
def last_Two_Digits(N):
    if (N >= 10):
        return 00
    fac = 1
    for i in range(1, N + 1):
        fac = (fac * i) % 100
    return (fac)

# Test List:
assert last_Two_Digits(7) == 40
assert last_Two_Digits(5) == 20
assert last_Two_Digits(2) == 2
",100.0
693,Write a function to remove multiple spaces in a string by using regex.,"
import re
def remove_multiple_spaces(text1):
    return re.sub(' +',' ',text1)
",100.0
694,Write a function to extract unique values from the given dictionary values.,"
def extract_unique(test_dict):
    res = list(sorted({ele for val in test_dict.values() for ele in val}))
    return res
",100.0
695,Write a function to check if each element of the second tuple is greater than its corresponding index in the first tuple.,"
def check_greater(test_tup1, test_tup2):
  res = all(x < y for x, y in zip(test_tup1, test_tup2))
  return res
",100.0
696,Write a function to zip two given lists of lists.,"
def zip_list(list1, list2):
    result = [a + b for a, b in zip(list1, list2)]
    return result
",100.0
699,Write a python function to find the minimum number of swaps required to convert one binary string to another.,"
def min_Swaps(str1, str2):
    if len(str1) != len(str2):
        return ""Not Possible""
    
    count0, count1 = 0, 0
    for i in range(len(str1)):
        if str1[i] == '0' and str2[i] == '1':
            count0 += 1
        elif str1[i] == '1' and str2[i] == '0':
            count1 += 1

    if count0 != count1:
        return ""Not Possible""
    
    return count0
",100.0
700,Write a function to count the number of elements in a list which are within a specific range.,"
def count_range_in_list(li, min, max):
    ctr = 0
    for x in li:
        if min <= x <= max:
            ctr += 1
    return ctr
",100.0
701,Write a function to find the equilibrium index of the given array.,"
def equilibrium_index(arr):
    total_sum = sum(arr)
    left_sum = 0
    for i, num in enumerate(arr):
        total_sum -= num
        if left_sum == total_sum:
            return i
        left_sum += num
    return -1
",100.0
702,Write a function to find the minimum number of elements that should be removed such that amax-amin<=k.,"
def find_ind(key, i, n, k, arr):
    ind = -1
    start = i + 1
    end = n - 1
    while start <= end:
        mid = (start + end) // 2
        if arr[mid] - key <= k:
            ind = mid
            start = mid + 1
        else:
            end = mid - 1
    return ind

def removals(arr, n, k):
    ans = n - 1
    arr.sort()
    for i in range(n):
        j = find_ind(arr[i], i, n, k, arr)
        if j != -1:
            ans = min(ans, n - (j - i + 1))
    return ans
",100.0
703,Write a function to check whether the given key is present in the dictionary or not.,"
def is_key_present(d, x):
    return x in d
",100.0
704,Write a function to calculate the harmonic sum of n-1.,"
def harmonic_sum(n):
    if n == 1:
        return 1
    else:
        return 1 / n + harmonic_sum(n - 1)
",100.0
705,Write a function to sort a list of lists by length and value.,"
def sort_sublists(list1):
    list1.sort()
    list1.sort(key=len)
    return list1
",100.0
706,Write a function to find whether an array is subset of another array.,"
def is_subset(arr1, m, arr2, n):
    hashset = set(arr1[:m])
    for elem in arr2[:n]:
        if elem not in hashset:
            return False
    return True
",100.0
707,Write a python function to count the total set bits from 1 to n.,"
def count_Set_Bits(n) :
    n += 1
    powerOf2 = 2
    cnt = n // 2
    while (powerOf2 <= n) :
        totalPairs = n // powerOf2
        cnt += (totalPairs // 2) * powerOf2
        if (totalPairs & 1) : 
            cnt += (n % powerOf2)
        powerOf2 <<= 1
    return cnt
    
assert count_Set_Bits(16) == 33
assert count_Set_Bits(2) == 2
assert count_Set_Bits(14) == 28
",100.0
710,Write a function to access the initial and last data of the given tuple record.,"
def front_and_rear(test_tup):
    res = (test_tup[0], test_tup[-1])
    return res
",100.0
711,Write a python function to check whether the product of digits of a number at even and odd places is equal or not.,"
def product_Equal(n): 
    if n < 10: 
        return False
    prodOdd = 1; prodEven = 1
    isOdd = True
    while n > 0: 
        digit = n % 10
        if isOdd:
            prodOdd *= digit
        else:
            prodEven *= digit
        isOdd = not isOdd
        n = n // 10
    return prodOdd == prodEven
",100.0
712,Write a function to remove duplicates from a list of lists.,"
import itertools

def remove_duplicate(list1):
    list1.sort()
    remove_duplicate = list(k for k, _ in itertools.groupby(list1))
    return remove_duplicate
",100.0
713,Write a function to check if the given tuple contains all valid values or not.,"
def check_valid(test_tup):
    res = not any(map(lambda ele: not ele, test_tup))
    return res
",100.0
715,Write a function to convert the given string of integers into a tuple.,"
def str_to_tuple(test_str):
    res = tuple(map(int, test_str.split(', ')))
    return res
",100.0
716,Write a function to find the perimeter of a rombus.,"
def rombus_perimeter(a):
  perimeter = 4 * a
  return perimeter
",100.0
717,Write a function to calculate the standard deviation.,"
import math

def sd_calc(data):
    n = len(data)
    if n <= 1:
        return 0.0
    mean, sd = avg_calc(data), 0.0
    for el in data:
        sd += (float(el) - mean) ** 2
    sd = math.sqrt(sd / float(n - 1))
    return sd

def avg_calc(ls):
    n, mean = len(ls), 0.0
    for el in ls:
        mean += float(el)
    mean = mean / float(n)
    return mean
",100.0
718,Write a function to create a list taking alternate elements from another given list.,"
def alternate_elements(list1):
    return list1[::2]

assert alternate_elements([""red"", ""black"", ""white"", ""green"", ""orange""]) == ['red', 'white', 'orange']
assert alternate_elements([2, 0, 3, 4, 0, 2, 8, 3, 4, 2]) == [2, 3, 0, 8, 4]
assert alternate_elements([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == [1, 3, 5, 7, 9]
",100.0
720,Write a function to add a dictionary to the tuple.,"
def add_dict_to_tuple(test_tup, test_dict):
    test_tup = list(test_tup)
    test_tup.append(test_dict)
    return tuple(test_tup)
",100.0
721,Write a function to find a path with the maximum average over all existing paths for the given square matrix of size n*n.,"
def maxAverageOfPath(cost, N): 
	dp = [[0 for i in range(N + 1)] for j in range(N + 1)] 
	dp[0][0] = cost[0][0] 
	for i in range(1, N): 
		dp[i][0] = dp[i - 1][0] + cost[i][0] 
	for j in range(1, N): 
		dp[0][j] = dp[0][j - 1] + cost[0][j] 
	for i in range(1, N): 
		for j in range(1, N): 
			dp[i][j] = max(dp[i - 1][j], dp[i][j - 1]) + cost[i][j] 
	return dp[N - 1][N - 1] / (2 * N - 1)
",100.0
722,Write a function to filter the height and width of students which are stored in a dictionary.,"
def filter_data(students, h, w):
    result = {k: v for k, v in students.items() if v[0] >= h and v[1] >= w}
    return result
",100.0
723,Write a function to count the same pair in two given lists using map function.,"
from operator import eq

def count_same_pair(nums1, nums2):
    result = sum(map(eq, nums1, nums2))
    return result
",100.0
724,Write a function to calculate the sum of all digits of the base to the specified power.,"
def power_base_sum(base, power):
    return sum([int(i) for i in str(base ** power)])
",100.0
725,Write a function to extract values between quotation marks of the given string by using regex.,"
import re

def extract_quotation(text1):
    return re.findall(r'""(.*?)""', text1)
",100.0
726,Write a function to multiply the adjacent elements of the given tuple.,"
def multiply_elements(test_tup):
    res = tuple(i * j for i, j in zip(test_tup, test_tup[1:]))
    return res
",100.0
727,Write a function to remove all characters except letters and numbers using regex,"
import re
def remove_char(S):
    result = re.sub(r'[^a-zA-Z0-9]', '', S)
    return result
",100.0
728,Write a function to sum elements in two lists.,"
def sum_list(lst1, lst2):
    res_list = [lst1[i] + lst2[i] for i in range(len(lst1))]
    return res_list
",100.0
729,Write a function to add two lists using map and lambda function.,"
def add_list(nums1, nums2):
    result = map(lambda x, y: x + y, nums1, nums2)
    return list(result)
",100.0
738,Write a function to calculate the geometric sum of n-1.,"def geometric_sum(n):
  if n < 0:
    return 0
  else:
    return 1 / (pow(2, n)) + geometric_sum(n - 1)",0.0
731,Write a function to find the lateral surface area of a cone.,"
import math
def lateralsurface_cone(r,h):
    l = math.sqrt(r * r + h * h)
    LSA = math.pi * r * l
    return LSA
",100.0
732,"Write a function to replace all occurrences of spaces, commas, or dots with a colon.","
import re

def replace_specialchar(text):
    return re.sub(r'[ ,.]', ':', text)
",100.0
733,Write a function to find the index of the first occurrence of a given number in a sorted array.,"
def find_first_occurrence(A, x):
    (left, right) = (0, len(A) - 1)
    result = -1
    while left <= right:
        mid = (left + right) // 2
        if x == A[mid]:
            result = mid
            right = mid - 1
        elif x < A[mid]:
            right = mid - 1
        else:
            left = mid + 1
    return result
",100.0
734,Write a python function to find sum of products of all possible subarrays.,"
def sum_Of_Subarray_Prod(arr, n):
    ans = 0
    res = 0
    i = n - 1
    while i >= 0:
        incr = arr[i] * (1 + res)
        ans += incr
        res = incr
        i -= 1
    return ans

assert sum_Of_Subarray_Prod([1,2,3],3) == 20
assert sum_Of_Subarray_Prod([1,2],2) == 5
assert sum_Of_Subarray_Prod([1,2,3,4],4) == 84
",100.0
735,Write a python function to toggle bits of the number except the first and the last bit.,"
def set_middle_bits(n):  
    n |= n >> 1
    n |= n >> 2
    n |= n >> 4
    n |= n >> 8
    n |= n >> 16
    n = (n >> 1) ^ 1
    return n

def toggle_middle_bits(n): 
    if n == 1: 
        return 1
    mask = set_middle_bits(n)
    for i in range(n.bit_length()):
        if i == 0 or i == n.bit_length() - 1:
            mask &= ~(1 << i)
    return n ^ mask
",100.0
736,Write a function to locate the left insertion point for a specified value in sorted order.,"
import bisect

def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i
",100.0
737,Write a function to check whether the given string is starting with a vowel or not using regex.,"
import re

def check_str(string):
    regex = '^[aeiouAEIOU]'
    if re.search(regex, string):
        return ""Valid""
    else:
        return ""Invalid""
",100.0
739,Write a python function to find the index of smallest triangular number with n digits.,"
import math

def find_Index(n):
    x = math.ceil((math.sqrt(1 + 8 * math.pow(10, (n - 1))) - 1) / 2)
    return x
",100.0
740,Write a function to convert the given tuple to a key-value dictionary using adjacent elements.,"
def tuple_to_dict(test_tup):
    res = {test_tup[idx]: test_tup[idx + 1] for idx in range(0, len(test_tup), 2)}
    return res
",100.0
741,Write a python function to check whether all the characters are same or not.,"
def all_Characters_Same(s):
    return all(c == s[0] for c in s)

# Test cases
assert all_Characters_Same(""python"") == False
assert all_Characters_Same(""aaa"") == True
assert all_Characters_Same(""data"") == False
",100.0
744,Write a function to check if the given tuple has any none value or not.,"
def check_none(test_tup):
    res = any(ele is None for ele in test_tup)
    return res
",100.0
746,Write a function to find area of a sector.,"
def sector_area(r,a):
    pi=22/7
    if a >= 360:
        return None
    sectorarea = (pi*r**2) * (a/360)
    return sectorarea
",100.0
748,Write a function to put spaces between words starting with capital letters in a given string by using regex.,"
import re

def capital_words_spaces(str1):
    return re.sub(r""(\w)([A-Z])"", r""\1 \2"", str1)
",100.0
749,Write a function to sort a given list of strings of numbers numerically.,"
def sort_numeric_strings(nums_str):
    result = sorted([int(x) for x in nums_str])
    return result
",100.0
750,Write a function to add the given tuple to the given list.,"
def add_tuple(test_list, test_tup):
  test_list.extend(test_tup)
  return test_list
",100.0
751,Write a function to check if the given array represents min heap or not.,"
def check_min_heap(arr, i=0):
    if 2 * i + 1 >= len(arr):
        return True
    left_child = (arr[i] <= arr[2 * i + 1]) and check_min_heap(arr, 2 * i + 1)
    right_child = (2 * i + 2 >= len(arr)) or (arr[i] <= arr[2 * i + 2] and check_min_heap(arr, 2 * i + 2))
    return left_child and right_child
",100.0
752,Write a function to find the nth jacobsthal number.,"
def jacobsthal_num(n): 
    dp = [0] * (n + 1) 
    dp[0] = 0
    dp[1] = 1
    for i in range(2, n+1): 
        dp[i] = dp[i - 1] + 2 * dp[i - 2] 
    return dp[n]
",100.0
753,Write a function to find minimum k records from tuple list.,"
def min_k(test_list, K):
    res = sorted(test_list, key=lambda x: x[1])[:K]
    return res
",100.0
755,Write a function to find the second smallest number in a list.,"
def second_smallest(numbers):
    if len(numbers) < 2:
        return
    unique_numbers = list(set(numbers))
    if len(unique_numbers) < 2:
        return
    unique_numbers.sort()
    return unique_numbers[1]
",100.0
756,Write a function that matches a string that has an a followed by zero or one 'b'.,"
import re
def text_match_zero_one(text):
    patterns = '^ab?'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
757,Write a function to count the pairs of reverse strings in the given string list.,"
def count_reverse_pairs(test_list):
    res = sum(1 for idx in range(len(test_list)) for idxn in range(idx + 1, len(test_list)) if test_list[idxn] == test_list[idx][::-1])
    return str(res)
",100.0
758,Write a function to count number of unique lists within a list.,"
def unique_sublists(list1):
    result = {}
    for l in list1:
        result[tuple(l)] = result.get(tuple(l), 0) + 1
    return result
",100.0
759,Write a function to check a decimal with a precision of 2.,"
def is_decimal(num):
    import re
    dnumre = re.compile(r""""""^[0-9]+(\.[0-9]{1,2})?$"""""")
    result = dnumre.search(num)
    return bool(result)
",100.0
760,Write a python function to check whether an array contains only one distinct element or not.,"
def unique_Element(arr, n):
    s = set(arr)
    if len(s) == 1:
        return 'YES'
    else:
        return 'NO'
",100.0
761,Write a function to caluclate arc length of an angle.,"
def arc_length(d,a):
    pi=22/7
    if a >= 360:
        return None
    arclength = (pi*d) * (a/360)
    return arclength
",100.0
762,Write a function to check whether the given month number contains 30 days or not.,"
def check_monthnumber_number(monthnum3):
    if monthnum3 in [4, 6, 9, 11]:
        return True
    else:
        return False
",100.0
763,Write a python function to find the minimum difference between any two elements in a given array.,"
def find_Min_Diff(arr, n):
    arr = sorted(arr) 
    diff = float('inf') 
    for i in range(n-1): 
        if arr[i+1] - arr[i] < diff: 
            diff = arr[i+1] - arr[i]  
    return diff
",100.0
764,Write a python function to count numeric values in a given string.,"
def number_ctr(s: str) -> int:
    return sum(1 for char in s if char.isdigit())
",100.0
767,Write a python function to count the number of pairs whose sum is equal to ‘sum’.,"
def get_Pairs_Count(arr, n, sum):
    count = 0
    freq = {}
    for i in range(n):
        if sum - arr[i] in freq:
            count += freq[sum - arr[i]]
        if arr[i] in freq:
            freq[arr[i]] += 1
        else:
            freq[arr[i]] = 1
    return count
",100.0
768,Write a python function to check for odd parity of a given number.,"
def check_Odd_Parity(x):
    parity = 0
    while x != 0:
        x = x & (x - 1)
        parity += 1
    return parity % 2 == 1
",100.0
769,Write a python function to get the difference between two lists.,"
def Diff(li1, li2):
    return list((set(li1) - set(li2)) | (set(li2) - set(li1)))
",100.0
770,Write a python function to find the sum of fourth power of first n odd natural numbers.,"
def odd_Num_Sum(n):
    j = 0
    sm = 0
    for i in range(1, n + 1):
        j = (2 * i - 1)
        sm = sm + (j ** 4)
    return sm
",100.0
771,Write a function to check if the given expression is balanced or not.,"
from collections import deque

def check_expression(exp):
    stack = deque()
    for ch in exp:
        if ch == '(' or ch == '{' or ch == '[':
            stack.append(ch)
        elif ch == ')' or ch == '}' or ch == ']':
            if not stack:
                return False
            top = stack.pop()
            if (top == '(' and ch != ')') or (top == '{' and ch != '}') or (top == '[' and ch != ']'):
                return False
    return not stack
",100.0
772,Write a function to remove all the words with k length in the given string.,"
def remove_length(test_str, K):
    temp = test_str.split()
    res = [ele for ele in temp if len(ele) != K]
    res = ' '.join(res)
    return res
",100.0
773,Write a function to find the occurrence and position of the substrings within a string.,"
import re
def occurance_substring(text, pattern):
    for match in re.finditer(pattern, text):
        s = match.start()
        e = match.end()
        return (text[s:e], s, e)
",100.0
774,Write a function to check if the string is a valid email address or not using regex.,"
import re

def check_email(email):
    regex = r'^[a-z0-9]+[\._]?[a-z0-9]+[@]\w+[.]\w{2,}$'
    if re.fullmatch(regex, email):
        return ""Valid Email""
    else:
        return ""Invalid Email""
",100.0
775,Write a python function to check whether every odd index contains odd numbers of a given list.,"
def odd_position(nums):
    return all(nums[i] % 2 == 1 for i in range(1, len(nums), 2))
",100.0
798,Write a python function to find the sum of an array.,"
def _sum(arr):  
    return sum(arr)
",100.0
777,Write a python function to find the sum of non-repeated elements in a given array.,"
def find_Sum(arr, n):
    unique_elements = set(arr)
    return sum(unique_elements)
",100.0
778,Write a function to pack consecutive duplicates of a given list elements into sublists.,"
from itertools import groupby

def pack_consecutive_duplicates(list1):
    return [list(group) for key, group in groupby(list1)]
",100.0
779,Write a function to count the number of unique lists within a list.,"
def unique_sublists(list1):
    result = {}
    for l in list1:
        result[tuple(l)] = result.get(tuple(l), 0) + 1
    return result
",100.0
780,Write a function to find the combinations of sums with tuples in the given tuple list.,"
from itertools import combinations 

def find_combinations(test_list):
    res = [(b1 + a1, b2 + a2) for (a1, a2), (b1, b2) in combinations(test_list, 2)]
    return res
",100.0
781,Write a python function to check whether the count of divisors is even or odd.,"
import math

def count_Divisors(n):
    count = 0
    for i in range(1, int(math.sqrt(n)) + 1):
        if n % i == 0:
            if n // i == i:
                count += 1
            else:
                count += 2
    return ""Even"" if count % 2 == 0 else ""Odd""
",100.0
782,Write a python function to find the sum of all odd length subarrays.,"
def Odd_Length_Sum(arr):
    Sum = 0
    l = len(arr)
    for i in range(l):
        Sum += ((((i + 1) * (l - i) + 1) // 2) * arr[i])
    return Sum
",100.0
783,Write a function to convert rgb color to hsv color.,"
def rgb_to_hsv(r, g, b):
    r, g, b = r/255.0, g/255.0, b/255.0
    mx = max(r, g, b)
    mn = min(r, g, b)
    df = mx-mn
    if mx == mn:
        h = 0
    elif mx == r:
        h = (60 * ((g-b)/df) + 360) % 360
    elif mx == g:
        h = (60 * ((b-r)/df) + 120) % 360
    elif mx == b:
        h = (60 * ((r-g)/df) + 240) % 360
    if mx == 0:
        s = 0
    else:
        s = (df/mx)*100
    v = mx*100
    return h, s, v
",100.0
799,Write a python function to left rotate the bits of a given number.,"
INT_BITS = 32
def left_Rotate(n, d):
    return ((n << d) & ((1 << INT_BITS) - 1)) | (n >> (INT_BITS - d))
",100.0
785,Write a function to convert tuple string to integer tuple.,"
def tuple_str_int(test_str):
  res = tuple(int(num) for num in test_str.strip('()').split(', '))
  return res
",100.0
786,Write a function to locate the right insertion point for a specified value in sorted order.,"
import bisect

def right_insertion(a, x):
    i = bisect.bisect_right(a, x)
    return i
",100.0
787,Write a function that matches a string that has an a followed by three 'b'.,"
import re
def text_match_three(text):
    patterns = 'ab{3}'
    if re.search(patterns, text):
        return 'Found a match!'
    else:
        return 'Not matched!'
",100.0
788,Write a function to create a new tuple from the given string and list.,"
def new_tuple(test_list, test_str):
  res = tuple(test_list) + (test_str,)
  return (res) 
",100.0
789,Write a function to calculate the perimeter of a regular polygon.,"
def perimeter_polygon(s, l):
    perimeter = s * l
    return perimeter
",100.0
790,Write a python function to check whether every even index contains even numbers of a given list.,"
def even_position(nums):
    return all(nums[i] % 2 == 0 for i in range(0, len(nums), 2))
",100.0
791,Write a function to remove the nested record from the given tuple.,"
def remove_nested(test_tup):
    res = tuple()
    for count, ele in enumerate(test_tup):
        if not isinstance(ele, tuple):
            res = res + (ele, )
    return res
",100.0
792,Write a python function to count the number of lists in a given number of lists.,"
def count_list(input_list): 
    return len(input_list)
",100.0
793,Write a python function to find the last position of an element in a sorted array.,"
def last(arr, x, n):
    low = 0
    high = n - 1
    res = -1  
    while low <= high:
        mid = (low + high) // 2 
        if arr[mid] > x:
            high = mid - 1
        elif arr[mid] < x:
            low = mid + 1
        else:
            res = mid
            low = mid + 1
    return res
",100.0
